id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
7z8bIcNcZCgnfaMrGu2lYk,Crush,0,,,,,,0,0.0,7z8bIcNcZCgnfaMrGu2lYk,,0,246230,0,,,0.7080000042915344,0.746999979019165,10,-4.716000080108643,0,0.049100000411272,0.0860999971628189,0.0001889999984996,0.1180000007152557,0.5519999861717224,95.02200317382812,4,1,0
1p2S1x6nsv9GKXv9FPiy97,C.C. Rider,0,,,,,,0,0.0,1p2S1x6nsv9GKXv9FPiy97,,0,54543,0,,,0.7450000047683716,0.765999972820282,10,-8.940999984741211,1,0.0408000014722347,0.2619999945163727,0.3810000121593475,0.1040000021457672,0.7089999914169312,145.36000061035156,3,1,0
3EvM4LQoUF4Sm24VJuHnKu,Why Baby Why,0,,,,,,0,0.0,3EvM4LQoUF4Sm24VJuHnKu,,0,160520,0,,,0.7070000171661377,0.6290000081062317,4,-7.117000102996826,1,0.0414999984204769,0.248999997973442,0.0,0.1509999930858612,0.7229999899864197,139.89700317382812,4,1,0
2ur0Dh73DM509nqAu2fsGP,Out of the Blue,0,,,,,,0,0.0,2ur0Dh73DM509nqAu2fsGP,,0,200202,1,,,0.7289999723434448,0.7300000190734863,11,-9.31999969482422,0,0.356000006198883,0.1420000046491623,0.0,0.734000027179718,0.5680000185966492,96.11599731445312,4,1,0
116pz2DzO7Y5OgC3zrY7FV,Pedestals,0,,,,,,0,0.0,116pz2DzO7Y5OgC3zrY7FV,,0,201093,1,,,0.7540000081062317,0.7279999852180481,1,-5.5320000648498535,0,0.2639999985694885,0.1110000014305114,0.0,0.0873000025749206,0.6499999761581421,91.98400115966795,4,1,0
4RjOEjzp0gCCgfCRbCNg5y,"Elegí (feat. Farruko, Anuel AA, Sech, Dímelo Flow & Justin Quiles) - Remix",0,,,,,,0,0.0,4RjOEjzp0gCCgfCRbCNg5y,,0,323786,1,,,0.7739999890327454,0.7350000143051147,0,-2.0239999294281006,1,0.0769999995827674,0.2010000050067901,0.0007210000185296,0.0538000017404556,0.7260000109672546,172.0489959716797,4,1,0
3XeKWlKRCJ3dZOQOMwbxU0,Hope I Make It,0,,,,,,0,0.0,3XeKWlKRCJ3dZOQOMwbxU0,,0,231360,1,,,0.7490000128746033,0.7739999890327454,0,-3.3499999046325684,1,0.2479999959468841,0.2960000038146972,0.0,0.1620000004768371,0.7319999933242798,174.22000122070312,4,1,0
7rinBrI5ekbbOiLosWp65M,Addiction,0,,,,,,0,0.0,7rinBrI5ekbbOiLosWp65M,,0,267066,0,,,0.6880000233650208,0.7609999775886536,1,-8.350000381469727,0,0.1650000065565109,0.1770000010728836,0.0,0.2269999980926513,0.5329999923706055,115.46199798583984,4,1,0
1fbMsoQUQKMp6DbbhmrdEx,Cocaine Jane,0,,,,,,0,0.0,1fbMsoQUQKMp6DbbhmrdEx,,0,296053,0,,,0.7630000114440918,0.640999972820282,11,-8.62600040435791,0,0.033500000834465,0.1220000013709068,7.60999973863e-05,0.0553000010550022,0.6919999718666077,118.0530014038086,4,1,0
6V6l9d3zlJ0sdCHFA4fjAi,Gave You Everything,0,,,,,,0,0.0,6V6l9d3zlJ0sdCHFA4fjAi,,0,217493,0,,,0.7080000042915344,0.656000018119812,7,-5.781000137329102,1,0.0439999997615814,0.2010000050067901,0.0,0.0604000017046928,0.6669999957084656,84.54000091552734,4,1,0
7jg5uAbRY4eNhKepo1KyWc,Sawagoro - Ambae,0,,,,,,0,0.0,7jg5uAbRY4eNhKepo1KyWc,,0,79469,0,,,0.8050000071525574,0.6420000195503235,10,-12.430999755859377,1,0.3039999902248382,0.3459999859333038,0.1770000010728836,0.1280000060796737,0.7480000257492065,165.9149932861328,4,1,0
0vvwANhEe0ChzSF9s4c6Uy,Adadaa (From Pithamagan),0,,,,,,0,0.0,0vvwANhEe0ChzSF9s4c6Uy,,0,276967,0,,,0.7739999890327454,0.753000020980835,11,-9.727999687194824,0,0.1400000005960464,0.2450000047683715,0.0,0.1120000034570694,0.6370000243186951,97.94200134277344,4,1,0
6fc7HCNBoxjUzSHRqh3FqM,Kusins,0,,,,,,0,0.0,6fc7HCNBoxjUzSHRqh3FqM,,0,173908,1,,,0.7089999914169312,0.7009999752044678,4,-9.604999542236328,0,0.4300000071525574,0.3199999928474426,0.0,0.0549999997019767,0.6809999942779541,98.20600128173828,4,1,0
32N7d71TRYfHKc29mycLud,Mr. Workabee,0,,,,,,0,0.0,32N7d71TRYfHKc29mycLud,,0,191373,0,,,0.7760000228881836,0.6549999713897705,0,-4.86299991607666,1,0.125,0.2509999871253967,1.7600000319e-06,0.202000007033348,0.753000020980835,95.95700073242188,4,1,0
1ckZnpmGcxwgEz3QVLQD3w,Str8 Playa,0,,,,,,0,0.0,1ckZnpmGcxwgEz3QVLQD3w,,0,205252,1,,,0.7239999771118164,0.746999979019165,11,-6.854000091552734,0,0.2879999876022339,0.2179999947547912,0.0,0.0650999993085861,0.7379999756813049,200.19200134277344,4,1,0
5Wt7ngK753xBhSjb9lRfSR,Tipsy (feat. RAYE),0,,,,,,0,0.0,5Wt7ngK753xBhSjb9lRfSR,,0,208893,0,,,0.7459999918937683,0.6710000038146973,8,-4.984000205993652,0,0.0549999997019767,0.238999992609024,4.319999789e-06,0.3269999921321869,0.6769999861717224,90.01399993896484,4,1,0
6idG0SCAGAr0SQa41Vt3K0,Meia Idade,0,,,,,,0,0.0,6idG0SCAGAr0SQa41Vt3K0,,0,211200,1,,,0.6899999976158142,0.7459999918937683,1,-7.903999805450439,1,0.0584999993443489,0.2230000048875808,0.0,0.1080000028014183,0.5820000171661377,150.07699584960938,4,1,0
